Datetime,ProduceType,InputLevel,SpendResource,Type,ID,Name,Rank
2021-10-13 00:31:04,GUN,NORMAL,400/91/400/30,RF,40,SVT-38,★★
2021-10-13 00:31:04,GUN,NORMAL,400/91/400/30,RF,47,G43,★★
2021-10-13 13:06:10,GUN,NORMAL,400/91/400/30,RF,37,M14,★★★
2021-10-13 13:06:10,GUN,NORMAL,400/91/400/30,RF,39,Mosin-Nagant,★★★★
2021-10-13 13:06:10,GUN,NORMAL,400/91/400/30,RF,52,VM59,★★
2021-10-13 13:06:10,GUN,NORMAL,400/91/400/30,RF,51,FF FN49,★★
2021-10-13 17:53:00,GUN,NORMAL,400/91/400/30,RF,95,Type88,★★★
2021-10-13 17:53:00,GUN,NORMAL,400/91/400/30,RF,128,M99,★★★★★
2021-10-13 17:53:00,GUN,NORMAL,400/91/400/30,SMG,25,MP40,★★
2021-10-13 17:53:00,GUN,NORMAL,400/91/400/30,AR,74,SIG-510,★★
2021-10-13 17:53:10,GUN,NORMAL,400/91/400/30,SMG,94,Type64,★★
2021-10-13 17:53:33,GUN,NORMAL,400/91/400/30,RF,40,SVT-38,★★
2021-10-13 19:13:37,GUN,NORMAL,400/91/400/30,AR,74,SIG-510,★★
2021-10-13 19:13:37,GUN,NORMAL,400/91/400/30,RF,305,Tabuk,★★★★
